,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,CN7,4G,1,1,843.0,1059.0,1365.0,3024.0,1336.0,1483.0,1432.04,1507.2
1,CN7,4G,1,2,879.0,1086.0,1450.0,2166.0,1293.0,1490.0,1415.72,1490.8
2,CN7,4G,1,4,835.0,1049.0,1388.0,2027.0,1334.0,1479.0,1423.2,1499.4
3,CN7,4G,1,8,832.0,1059.0,1479.0,2027.0,1348.0,1477.0,1430.04,1504.4
4,CN7,4G,1,12,865.0,1077.0,1365.0,1886.0,1289.0,1490.0,1421.16,1502.0
5,CN7,4G,1,24,840.0,1058.0,1355.0,1947.0,1326.0,1499.0,1432.12,1510.4
6,CN7,4G,2,1,1208.0,1643.0,18924.0,72863.0,947.0,1380.0,1174.9,2424.4
7,CN7,4G,2,2,1227.0,1756.0,5092.0,193908.0,729.0,1396.0,1172.48,2427.0
8,CN7,4G,2,4,1179.0,1516.0,3973.0,184202.0,818.0,1402.0,1148.58,2422.0
9,CN7,4G,2,8,1150.0,1487.0,7486.0,197083.0,811.0,1431.0,1142.57,2389.75
10,CN7,4G,2,12,1286.0,1732.0,64360.0,120285.0,734.0,1460.0,1030.58,2150.4
11,CN7,4G,2,24,1201.0,1542.0,4063.0,199754.0,830.0,1395.0,1142.02,2387.4
12,CN7,4G,4,1,2875.0,3621.0,127877.0,319783.0,365.0,1135.0,546.47,2270.5
13,CN7,4G,4,2,3136.0,4683.0,53287.0,179831.0,350.0,1159.0,580.24,2401.6
14,CN7,4G,4,4,2911.0,4063.0,36034.0,322132.0,328.0,1130.0,593.22,2414.0
15,CN7,4G,4,8,3188.0,4263.0,52776.0,327654.0,330.0,1113.0,575.4,2380.8
16,CN7,4G,4,12,2920.0,4460.0,113888.0,329070.0,365.0,1128.0,574.47,2381.8
17,CN7,4G,4,24,2815.0,4289.0,109183.0,359662.0,349.0,1118.0,579.88,2415.6
18,CN7,4G,8,1,5685.0,7987.0,62816.0,94142.0,177.0,744.0,258.09,2162.0
19,CN7,4G,8,2,5459.0,6469.0,19687.0,35101.0,180.0,812.0,264.81,2220.0
20,CN7,4G,8,4,5367.0,6311.0,20788.0,47265.0,183.0,776.0,266.26,2230.4
21,CN7,4G,8,8,5512.0,6587.0,20107.0,26398.0,178.0,813.0,261.74,2188.0
22,CN7,4G,8,12,5525.0,7779.0,58563.0,91751.0,182.0,742.0,260.55,2179.2
23,CN7,4G,8,24,5571.0,7078.0,58950.0,130188.0,167.0,738.0,255.63,2142.75
24,CN7,8G,1,1,779.0,1028.0,1712.0,2623.0,1341.0,1507.0,1442.29,1513.2
25,CN7,8G,1,2,760.0,997.0,1522.0,2499.0,1317.0,1496.0,1451.93,1523.0
26,CN7,8G,1,4,760.0,1024.0,1755.0,2658.0,1327.0,1497.0,1450.23,1521.2
27,CN7,8G,1,8,748.0,1000.0,1729.0,2522.0,1350.0,1505.0,1459.96,1531.4
28,CN7,8G,1,12,745.0,1012.0,1817.0,2834.0,1300.0,1506.0,1455.07,1526.6
29,CN7,8G,1,24,781.0,1035.0,1725.0,2612.0,1301.0,1510.0,1445.51,1516.8
30,CN7,8G,2,1,1385.0,1848.0,32368.0,176148.0,684.0,1395.0,1085.05,2260.0
31,CN7,8G,2,2,1263.0,1712.0,27774.0,227541.0,725.0,1389.0,1114.07,2320.6
32,CN7,8G,2,4,1355.0,1825.0,4542.0,110336.0,724.0,1395.0,1143.22,2369.0
33,CN7,8G,2,8,1296.0,1796.0,20791.0,94752.0,806.0,1382.0,1149.89,2377.6
34,CN7,8G,2,12,1322.0,1819.0,12272.0,85774.0,782.0,1391.0,1149.17,2369.0
35,CN7,8G,2,24,1306.0,1779.0,5079.0,124899.0,737.0,1402.0,1157.72,2390.8
36,CN7,8G,4,1,3123.0,3890.0,15637.0,118594.0,350.0,1229.0,519.39,2168.4
37,CN7,8G,4,2,3077.0,4037.0,14955.0,24091.0,350.0,1326.0,525.59,2197.8
38,CN7,8G,4,4,3097.0,4260.0,42782.0,95525.0,344.0,1215.0,516.63,2160.2
39,CN7,8G,4,8,3038.0,4217.0,14222.0,24982.0,361.0,1296.0,531.52,2220.8
40,CN7,8G,4,12,3018.0,4250.0,36989.0,114400.0,314.0,1286.0,526.7,2201.0
41,CN7,8G,4,24,2900.0,3923.0,13907.0,25140.0,376.0,1283.0,537.67,2242.2
42,CN7,8G,8,1,5538.0,7233.0,25428.0,128352.0,174.0,722.0,245.55,2057.75
43,CN7,8G,8,2,5505.0,7414.0,23462.0,40174.0,173.0,804.0,250.02,2095.5
44,CN7,8G,8,4,5456.0,7094.0,23265.0,33325.0,178.0,764.0,248.16,2078.75
45,CN7,8G,8,8,5551.0,6600.0,23567.0,95971.0,175.0,758.0,243.08,2038.8
46,CN7,8G,8,12,5210.0,6488.0,95093.0,236520.0,177.0,711.0,246.44,2065.5
47,CN7,8G,8,24,5669.0,7725.0,60588.0,208667.0,168.0,672.0,245.6,2059.25
48,CN7,16G,1,1,749.0,961.0,1676.0,3157.0,1330.0,1495.0,1446.38,1517.8
49,CN7,16G,1,2,763.0,956.0,1788.0,3100.0,1302.0,1488.0,1436.18,1506.8
50,CN7,16G,1,4,712.0,891.0,1820.0,2704.0,1380.0,1503.0,1466.74,1538.2
51,CN7,16G,1,8,741.0,971.0,1624.0,2754.0,1327.0,1504.0,1455.14,1526.4
52,CN7,16G,1,12,727.0,922.0,1748.0,2651.0,1350.0,1498.0,1460.59,1532.0
53,CN7,16G,1,24,743.0,974.0,1725.0,3136.0,1279.0,1495.0,1451.13,1522.2
54,CN7,16G,2,1,1545.0,2025.0,5528.0,21522.0,728.0,1360.0,1029.59,2138.2
55,CN7,16G,2,2,1489.0,1930.0,5997.0,20946.0,749.0,1387.0,1056.15,2191.6
56,CN7,16G,2,4,1519.0,2045.0,6180.0,21679.0,744.0,1382.0,1039.33,2162.6
57,CN7,16G,2,8,1549.0,2025.0,6279.0,22309.0,742.0,1380.0,1034.84,2151.6
58,CN7,16G,2,12,1545.0,2010.0,5368.0,22256.0,724.0,1366.0,1035.73,2157.2
59,CN7,16G,2,24,1499.0,2036.0,5823.0,21325.0,732.0,1422.0,1061.79,2203.6
60,CN7,16G,4,1,3143.0,4244.0,17406.0,78486.0,345.0,1263.0,487.16,2035.0
61,CN7,16G,4,2,3136.0,4155.0,16856.0,26188.0,332.0,1311.0,489.87,2049.2
62,CN7,16G,4,4,3162.0,4217.0,16725.0,26031.0,347.0,1291.0,486.79,2034.6
63,CN7,16G,4,8,3326.0,4303.0,16515.0,25769.0,333.0,1328.0,472.43,1976.4
64,CN7,16G,4,12,3188.0,4040.0,16555.0,25769.0,348.0,1346.0,485.82,2033.0
65,CN7,16G,4,24,3136.0,4165.0,16633.0,27604.0,352.0,1309.0,490.67,2050.8
66,CN7,16G,8,1,5423.0,6406.0,47481.0,184288.0,152.0,742.0,241.06,2018.0
67,CN7,16G,8,2,5459.0,6980.0,46032.0,174169.0,164.0,742.0,243.29,2041.0
68,CN7,16G,8,4,5554.0,7611.0,27067.0,209978.0,161.0,691.0,241.99,2028.75
69,CN7,16G,8,8,5505.0,8323.0,27460.0,222167.0,160.0,707.0,244.11,2045.5
70,CN7,16G,8,12,5525.0,7642.0,72168.0,215483.0,162.0,629.0,241.82,2025.4
71,CN7,16G,8,24,5554.0,7487.0,50233.0,238027.0,137.0,676.0,242.79,2035.75
72,CN7,32G,1,1,733.0,868.0,1701.0,2822.0,1306.0,1517.0,1459.59,1531.0
73,CN7,32G,1,2,730.0,899.0,1627.0,2939.0,1316.0,1500.0,1459.46,1530.8
74,CN7,32G,1,4,710.0,868.0,1639.0,3157.0,1311.0,1508.0,1471.71,1543.4
75,CN7,32G,1,8,725.0,912.0,1930.0,4260.0,1282.0,1524.0,1461.11,1532.6
76,CN7,32G,1,12,735.0,894.0,2017.0,3520.0,1335.0,1504.0,1455.46,1526.4
77,CN7,32G,1,24,727.0,905.0,2137.0,4034.0,1312.0,1531.0,1470.5,1542.0
78,CN7,32G,2,1,1670.0,2323.0,8172.0,21260.0,666.0,1371.0,969.8,2020.2
79,CN7,32G,2,2,1572.0,2110.0,7124.0,21994.0,710.0,1372.0,993.36,2052.0
80,CN7,32G,2,4,1637.0,2176.0,6403.0,22151.0,686.0,1416.0,979.49,2031.8
81,CN7,32G,2,8,1669.0,2159.0,5312.0,23934.0,669.0,1408.0,967.91,2020.2
82,CN7,32G,2,12,1584.0,2115.0,6580.0,23462.0,696.0,1431.0,1000.42,2067.6
83,CN7,32G,2,24,1588.0,2161.0,7589.0,22151.0,698.0,1376.0,999.15,2069.0
84,CN7,32G,4,1,3044.0,4139.0,20578.0,145123.0,320.0,1129.0,488.33,2044.0
85,CN7,32G,4,2,2998.0,4326.0,22545.0,209191.0,298.0,1100.0,488.1,2042.5
86,CN7,32G,4,4,3130.0,4103.0,21050.0,128241.0,310.0,1164.0,481.39,2018.4
87,CN7,32G,4,8,3151.0,4713.0,23549.0,173015.0,275.0,1179.0,482.86,2021.0
88,CN7,32G,4,12,3188.0,4699.0,21732.0,145962.0,312.0,1136.0,483.33,2025.4
89,CN7,32G,4,24,3080.0,3981.0,19726.0,117047.0,297.0,1245.0,490.22,2053.0
90,CN7,32G,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,CN7,32G,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,CN7,32G,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,CN7,32G,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,CN7,32G,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,CN7,32G,8,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
